Mod:Item:MetaData, Localized Name
hbm:item.bedrock_ore:370, Rare Earth Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:386, Rare Earth Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:402, Rare Earth Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:3, Actinide Bedrock Ore
hbm:item.bedrock_ore:19, Roasted Actinide Bedrock Ore
hbm:item.bedrock_ore:35, Washed Actinide Bedrock Ore
hbm:item.bedrock_ore:51, Actinide Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:67, Actinide Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:83, Actinide Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:99, Actinide Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:115, Actinide Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:131, Actinide Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:147, Actinide Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:163, Actinide Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:179, Actinide Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:195, Actinide Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:211, Actinide Bedrock Ore Crumbs
hbm:item.bedrock_ore:227, Actinide Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:243, Actinide Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:259, Actinide Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:275, Actinide Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:291, Actinide Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:307, Actinide Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:323, Actinide Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:339, Actinide Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:355, Actinide Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:371, Actinide Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:387, Actinide Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:403, Actinide Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:4, Non-Metal Bedrock Ore
hbm:item.bedrock_ore:20, Roasted Non-Metal Bedrock Ore
hbm:item.bedrock_ore:36, Washed Non-Metal Bedrock Ore
hbm:item.bedrock_ore:52, Non-Metal Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:68, Non-Metal Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:84, Non-Metal Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:100, Non-Metal Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:116, Non-Metal Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:132, Non-Metal Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:148, Non-Metal Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:164, Non-Metal Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:180, Non-Metal Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:196, Non-Metal Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:212, Non-Metal Bedrock Ore Crumbs
hbm:item.bedrock_ore:228, Non-Metal Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:244, Non-Metal Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:260, Non-Metal Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:276, Non-Metal Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:292, Non-Metal Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:308, Non-Metal Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:324, Non-Metal Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:340, Non-Metal Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:356, Non-Metal Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:372, Non-Metal Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:388, Non-Metal Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:404, Non-Metal Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore:5, Crystalline Bedrock Ore
hbm:item.bedrock_ore:21, Roasted Crystalline Bedrock Ore
hbm:item.bedrock_ore:37, Washed Crystalline Bedrock Ore
hbm:item.bedrock_ore:53, Crystalline Bedrock Ore, Primary Fraction
hbm:item.bedrock_ore:69, Crystalline Bedrock Ore, Roasted Primary Fraction
hbm:item.bedrock_ore:85, Crystalline Bedrock Ore, Sulfuric Primary Fraction
hbm:item.bedrock_ore:101, Crystalline Bedrock Ore, Separated Sulfuric Primary Fraction
hbm:item.bedrock_ore:117, Crystalline Bedrock Ore, Dissolved Primary Fraction
hbm:item.bedrock_ore:133, Crystalline Bedrock Ore, Separated Dissolved Primary Fraction
hbm:item.bedrock_ore:149, Crystalline Bedrock Ore, Cleaned Primary Fraction
hbm:item.bedrock_ore:165, Crystalline Bedrock Ore, Separated Cleaned Primary Fraction
hbm:item.bedrock_ore:181, Crystalline Bedrock Ore, Primary Fraction, Higher Weight
hbm:item.bedrock_ore:197, Crystalline Bedrock Ore, Primary Fraction, Lower Weight
hbm:item.bedrock_ore:213, Crystalline Bedrock Ore Crumbs
hbm:item.bedrock_ore:229, Crystalline Bedrock Ore, Sulfuric Byproduct
hbm:item.bedrock_ore:245, Crystalline Bedrock Ore, Roasted Sulfuric Byproduct
hbm:item.bedrock_ore:261, Crystalline Bedrock Ore, Seared Sulfuric Byproduct
hbm:item.bedrock_ore:277, Crystalline Bedrock Ore, Washed Sulfuric Byproduct
hbm:item.bedrock_ore:293, Crystalline Bedrock Ore, Dissolved Byproduct
hbm:item.bedrock_ore:309, Crystalline Bedrock Ore, Roasted Dissolved Byproduct
hbm:item.bedrock_ore:325, Crystalline Bedrock Ore, Seared Dissolved Byproduct
hbm:item.bedrock_ore:341, Crystalline Bedrock Ore, Washed Dissolved Byproduct
hbm:item.bedrock_ore:357, Crystalline Bedrock Ore, Cleaned Byproduct
hbm:item.bedrock_ore:373, Crystalline Bedrock Ore, Roasted Cleaned Byproduct
hbm:item.bedrock_ore:389, Crystalline Bedrock Ore, Seared Cleaned Byproduct
hbm:item.bedrock_ore:405, Crystalline Bedrock Ore, Washed Cleaned Byproduct
hbm:item.bedrock_ore_fragment:600, Coal Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:601, Lignite Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1430, Diamond Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:2600, Iron Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:7900, Gold Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1, Redstone Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:9200, Uranium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:9238, Uranium-238 Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:9032, Thorium-232 Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:8410, Polonium-210 Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:4399, Technetium-99 Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:8826, Radium-226 Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:2200, Titanium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:2900, Copper Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:7400, Tungsten Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1300, Aluminium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:8200, Lead Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:8300, Bismuth Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:6000, Neodymium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:4100, Niobium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:400, Beryllium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:401, Emerald Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:2700, Cobalt Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:500, Boron Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:501, Borax Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:5700, Lanthanium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:4000, Zirconium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1100, Sodium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1101, Sodalite Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:3800, Strontium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:300, Lithium Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1600, Sulfur Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:700, Niter Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:900, Fluorite Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1500, Red Phosphorus Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1701, Chlorocalcite Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1702, Molysite Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:8001, Cinnabar Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1400, Silicon Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:1401, Asbestos Bedrock Ore Fragment
hbm:item.bedrock_ore_fragment:20000, Rare Earth Bedrock Ore Fragment
hbm:item.crystal_coal, Coal Crystals
hbm:item.crystal_iron, Iron Crystals
hbm:item.crystal_gold, Gold Crystals
hbm:item.crystal_redstone, Redstone Crystals
hbm:item.crystal_lapis, Lapis Crystals
hbm:item.crystal_diamond, Diamond Crystals
hbm:item.crystal_uranium, Uranium Crystals
hbm:item.crystal_thorium, Thorium Crystals
hbm:item.crystal_plutonium, Plutonium Crystals
hbm:item.crystal_titanium, Titanium Crystals
hbm:item.crystal_sulfur, Sulfur Crystals
hbm:item.crystal_niter, Niter Crystals
hbm:item.crystal_copper, Copper Crystals
hbm:item.crystal_tungsten, Tungsten Crystals
hbm:item.crystal_aluminium, Aluminium Crystals
hbm:item.crystal_fluorite, Fluorite Crystals
hbm:item.crystal_beryllium, Beryllium Crystals
hbm:item.crystal_lead, Lead Crystals
hbm:item.crystal_schraranium, Schraranium Crystals
hbm:item.crystal_schrabidium, Schrabidium Crystals
hbm:item.crystal_rare, Rare Earth Crystals
hbm:item.crystal_phosphorus, Phosphorus Crystals
hbm:item.crystal_lithium, Lithium Crystals
hbm:item.crystal_cobalt, Cobalt Crystals
hbm:item.crystal_starmetal, Starmetal Crystals
hbm:item.crystal_cinnebar, Cinnabar Crystals
hbm:item.crystal_trixite, Trixite Crystals
hbm:item.crystal_osmiridium, Osmiridium Crystals
hbm:item.gem_sodalite, Sodalite
hbm:item.gem_tantalium, Tantalium Polycrystal
hbm:item.gem_volcanic, Volcanic Gem
hbm:item.gem_rad, Radioactive Gem
hbm:item.gem_alexandrite, Alexandrite
hbm:item.fragment_neodymium, Neodymium Fragment
hbm:item.fragment_cobalt, Cobalt Fragment
hbm:item.fragment_niobium, Niobium Fragment
hbm:item.fragment_cerium, Cerium Fragment
hbm:item.fragment_lanthanium, Lanthanium Fragment
hbm:item.fragment_actinium, Actinium-227 Fragment
hbm:item.fragment_boron, Boron Fragment
hbm:item.fragment_meteorite, Meteorite Fragment
hbm:item.fragment_coltan, Coltan
hbm:item.chunk_ore:0, Rare Earth Ore Chunk
hbm:item.biomass, Biomass
hbm:item.biomass_compressed, Compressed Biomass
hbm:item.bio_wafer, Algae Wafer
hbm:item.nugget_uranium, Uranium Nugget
hbm:item.nugget_u233, Uranium-233 Nugget
hbm:item.nugget_u235, Uranium-235 Nugget
hbm:item.nugget_u238, Uranium-238 Nugget
hbm:item.nugget_th232, Thorium-232 Nugget
hbm:item.nugget_plutonium, Plutonium Nugget
hbm:item.nugget_pu238, Plutonium-238 Nugget
hbm:item.nugget_pu239, Plutonium-239 Nugget
hbm:item.nugget_pu240, Plutonium-240 Nugget
hbm:item.nugget_pu241, Plutonium-241 Nugget
hbm:item.nugget_pu_mix, Reactor Grade Plutonium Nugget
hbm:item.nugget_am241, Americium-241 Nugget
hbm:item.nugget_am242, Americium-242 Nugget
hbm:item.nugget_am_mix, Reactor Grade Americium Nugget
hbm:item.nugget_neptunium, Neptunium Nugget
hbm:item.nugget_polonium, Polonium-210 Nugget
hbm:item.nugget_cobalt, Cobalt Nugget
hbm:item.nugget_co60, Cobalt-60 Nugget
hbm:item.nugget_sr90, Strontium-90 Nugget
hbm:item.nugget_technetium, Technetium-99 Nugget
hbm:item.nugget_au198, Gold-198 Nugget
hbm:item.nugget_pb209, Lead-209 Nugget
hbm:item.nugget_ra226, Radium-226 Nugget
hbm:item.nugget_actinium, Actinium-227 Nugget
hbm:item.nugget_lead, Lead Nugget
hbm:item.nugget_bismuth, Bismuth Nugget
hbm:item.nugget_arsenic, Arsenic Nugget
hbm:item.nugget_tantalium, Tantalium Nugget
hbm:item.nugget_silicon, Silicon Nugget
hbm:item.nugget_niobium, Niobium Nugget
hbm:item.nugget_beryllium, Beryllium Nugget
hbm:item.nugget_schrabidium, Schrabidium Nugget
hbm:item.nugget_solinium, Solinium Nugget
hbm:item.nugget_gh336, Ghiorsium-336 Nugget
hbm:item.nugget_uranium_fuel, Nugget of Uranium Fuel
hbm:item.nugget_thorium_fuel, Nugget of Thorium Fuel
hbm:item.nugget_plutonium_fuel, Nugget of Plutonium Fuel
hbm:item.nugget_neptunium_fuel, Neptunium Fuel Nugget
hbm:item.nugget_mox_fuel, Nugget of MOX Fuel
hbm:item.nugget_americium_fuel, Americium Fuel Nugget
hbm:item.nugget_schrabidium_fuel, Nugget of Schrabidium Fuel
hbm:item.nugget_hes, Highly Enriched Schrabidium Fuel Nugget
hbm:item.nugget_les, Low Enriched Schrabidium Fuel Nugget
hbm:item.nugget_zirconium, Zirconium Splinter
hbm:item.nugget_australium, Australium Nugget
hbm:item.nugget_australium_lesser, Lesser Australium Nugget
hbm:item.nugget_australium_greater, Greater Australium Nugget
hbm:item.nugget_weidanium, Weidanium Nugget
hbm:item.nugget_reiium, Reiium Nugget
hbm:item.nugget_unobtainium, Unobtainium Nugget
hbm:item.nugget_daffergon, Daffergon Nugget
hbm:item.nugget_verticium, Verticium Nugget
hbm:item.nugget_desh, Desh Nugget
hbm:item.nugget_euphemium, Euphemium Nugget
hbm:item.nugget_dineutronium, Dineutronium Nugget
hbm:item.nugget_osmiridium, Osmiridium Nugget
hbm:item.plate_iron, Iron Plate
hbm:item.plate_gold, Gold Plate
hbm:item.plate_titanium, Titanium Plate
hbm:item.plate_aluminium, Aluminium Plate
hbm:item.plate_steel, Steel Plate
hbm:item.plate_lead, Lead Plate
hbm:item.plate_copper, Copper Plate
hbm:item.plate_advanced_alloy, Advanced Alloy Plate
hbm:item.plate_dura_steel, High-Speed Steel Plate
hbm:item.neutron_reflector, Neutron Reflector
hbm:item.plate_schrabidium, Schrabidium Plate
hbm:item.plate_combine_steel, CMB Steel Plate
hbm:item.plate_mixed, Mixed Plate
hbm:item.plate_saturnite, Saturnite Plate
hbm:item.plate_paa, PaA Alloy Plate
hbm:item.plate_polymer, Insulator
hbm:item.plate_kevlar, Kevlar-Ceramic Compound
hbm:item.plate_dalekanium, Angry Metal
hbm:item.plate_desh, Desh Compound Plate
hbm:item.plate_bismuth, Bismuth Compound Plate
hbm:item.plate_euphemium, Euphemium Compound Plate
hbm:item.plate_dineutronium, Dineutronium Compound Plate
hbm:item.plate_armor_titanium, Titanium Armor Plate
hbm:item.plate_armor_ajr, Iron-Shod Armor Plating
hbm:item.plate_armor_hev, Reactive Armor Plating
hbm:item.plate_armor_lunar, Lunar Plating
hbm:item.plate_armor_fau, Fau Armor Plating
hbm:item.plate_armor_dnt, DNT Armor Plating
hbm:item.plate_cast:2600, Cast Iron Plate
hbm:item.plate_cast:7900, Cast Gold Plate
hbm:item.plate_cast:12626, Cast Schrabidium Plate
hbm:item.plate_cast:12600, Cast Ferric Schrabidate Plate
hbm:item.plate_cast:2200, Cast Titanium Plate
hbm:item.plate_cast:2900, Cast Copper Plate
hbm:item.plate_cast:7400, Cast Tungsten Plate
hbm:item.plate_cast:1300, Cast Aluminium Plate
hbm:item.plate_cast:8200, Cast Lead Plate
hbm:item.plate_cast:4000, Cast Zirconium Plate
hbm:item.plate_cast:7699, Cast Osmiridium Plate
hbm:item.plate_cast:30, Cast Steel Plate
hbm:item.plate_cast:32, Cast Advanced Alloy Plate
hbm:item.plate_cast:34, Cast Saturnite Plate
hbm:item.plate_cast:42, Cast Desh Plate
hbm:item.plate_cast:36, Cast Technetium Steel Plate
hbm:item.plate_cast:43, Cast Cadmium Steel Plate
hbm:item.plate_cast:46, Cast Bismuth Bronze Plate
hbm:item.plate_cast:47, Cast Arsenic Bronze Plate
hbm:item.plate_cast:39, Cast Combine Steel Plate
hbm:item.plate_welded:2600, Welded Iron Plate
hbm:item.plate_welded:2200, Welded Titanium Plate
hbm:item.plate_welded:2900, Welded Copper Plate
hbm:item.plate_welded:7400, Welded Tungsten Plate
hbm:item.plate_welded:1300, Welded Aluminium Plate
hbm:item.plate_welded:4000, Welded Zirconium Plate
hbm:item.plate_welded:7699, Welded Osmiridium Plate
hbm:item.plate_welded:30, Welded Steel Plate
hbm:item.plate_welded:36, Welded Technetium Steel Plate
hbm:item.plate_welded:43, Welded Cadmium Steel Plate
hbm:item.plate_welded:39, Welded Combine Steel Plate
hbm:item.shell:2200, Titanium Shell
hbm:item.shell:2900, Copper Shell
hbm:item.shell:1300, Aluminium Shell
hbm:item.shell:30, Steel Shell
hbm:item.pipe:2600, Iron Pipe
hbm:item.pipe:2900, Copper Pipe
hbm:item.pipe:1300, Aluminium Pipe
hbm:item.pipe:8200, Lead Pipe
hbm:item.pipe:30, Steel Pipe
hbm:item.pipe:33, High-Speed Steel Pipe
hbm:item.heavy_component:2200, Heavy Titanium Component
hbm:item.heavy_component:2900, Heavy Copper Component
hbm:item.heavy_component:7400, Heavy Tungsten Component
hbm:item.heavy_component:1300, Heavy Aluminium Component
hbm:item.heavy_component:8200, Heavy Lead Component
hbm:item.heavy_component:30, Heavy Steel Component
hbm:item.heavy_component:32, Heavy Advanced Alloy Component
hbm:item.heavy_component:42, Heavy Desh Component
hbm:item.heavy_component:36, Heavy Technetium Steel Component
hbm:item.heavy_component:43, Heavy Cadmium Steel Component
hbm:item.bolt:7400, Tungsten Bolt
hbm:item.bolt:30, Steel Bolt
hbm:item.bolt:33, High-Speed Steel Bolt
hbm:item.bolt_spike, Railroad Spike
hbm:item.hazmat_cloth, Hazmat Cloth
hbm:item.hazmat_cloth_red, Advanced Hazmat Cloth
hbm:item.hazmat_cloth_grey, Lead-Reinforced Hazmat Cloth
hbm:item.asbestos_cloth, Fire Proximity Cloth
hbm:item.rag, Cloth
hbm:item.rag_damp, Damp Cloth
hbm:item.rag_piss, Piss-Soaked Rag
hbm:item.filter_coal, Activated Carbon Filter
hbm:item.wire_aluminium, Aluminium Wire
hbm:item.wire_copper, Copper Wire
hbm:item.wire_tungsten, Tungsten Wire
hbm:item.wire_red_copper, Red Copper Wire
hbm:item.wire_advanced_alloy, Super Conductor
hbm:item.wire_gold, Gold Wire
hbm:item.wire_schrabidium, Schrabidium Wire
hbm:item.wire_magnetized_tungsten, 4000K High Temperature Super Conductor
hbm:item.wire_fine:699, Carbon Wire
hbm:item.wire_fine:7900, Gold Wire
hbm:item.wire_fine:12626, Schrabidium Wire
hbm:item.wire_fine:2900, Copper Wire
hbm:item.wire_fine:7400, Tungsten Wire
hbm:item.wire_fine:1300, Aluminium Wire
hbm:item.wire_fine:8200, Lead Wire
hbm:item.wire_fine:4000, Zirconium Wire
hbm:item.wire_fine:30, Steel Wire
hbm:item.wire_fine:31, Minecraft Grade Copper Wire
hbm:item.wire_fine:32, Advanced Alloy Wire
hbm:item.wire_fine:38, Magnetized Tungsten Wire
hbm:item.wire_dense:7900, Dense Gold Wire
hbm:item.wire_dense:12626, Dense Schrabidium Wire
hbm:item.wire_dense:12600, Dense Ferric Schrabidate Wire
hbm:item.wire_dense:7400, Dense Tungsten Wire
hbm:item.wire_dense:6000, Dense Neodymium Wire
hbm:item.wire_dense:32, Dense Advanced Alloy Wire
hbm:item.wire_dense:35, Dense Starmetal Wire
hbm:item.wire_dense:48, Dense BSCCO Wire
hbm:item.wire_dense:38, Dense Magnetized Tungsten Wire
hbm:item.wire_dense:45, Dense Dineutronium Wire
hbm:item.coil_copper, Copper Coil
hbm:item.coil_copper_torus, Ring Coil
hbm:item.coil_advanced_alloy, Super Conducting Coil
hbm:item.coil_advanced_torus, Super Conducting Ring Coil
hbm:item.coil_gold, Gold Coil
hbm:item.coil_gold_torus, Golden Ring Coil
hbm:item.coil_tungsten, Heating Coil
hbm:item.coil_magnetized_tungsten, 4000K High Temperature Super Conducting Coil
hbm:item.safety_fuse, Safety Fuse
hbm:item.tank_steel, Steel Tank
hbm:item.motor, Motor
hbm:item.motor_desh, Desh Motor
hbm:item.motor_bismuth, Bismuth Motor
hbm:item.centrifuge_element, Centrifuge Element
hbm:item.magnet_circular, Flat Magnet
hbm:item.reactor_core, Breeding Reactor Core
hbm:item.rtg_unit, RTG Unit
hbm:item.levitation_unit, Gravity Manipulator
hbm:item.pipes_steel, Steel Pipes
hbm:item.drill_titanium, Titanium Drill
hbm:item.photo_panel, Photovoltaic Panel
hbm:item.chlorine_pinwheel, Chlorine Pinwheel
hbm:item.ring_starmetal, §9Starmetal Ring§r
hbm:item.deuterium_filter, Deuterium Filter
hbm:item.chemical_dye:0, Chemical Dye (Black)
hbm:item.chemical_dye:1, Chemical Dye (Red)
hbm:item.chemical_dye:2, Chemical Dye (Green)
hbm:item.chemical_dye:3, Chemical Dye (Brown)
hbm:item.chemical_dye:4, Chemical Dye (Blue)
hbm:item.chemical_dye:5, Chemical Dye (Purple)
hbm:item.chemical_dye:6, Chemical Dye (Cyan)
hbm:item.chemical_dye:7, Chemical Dye (Light Gray)
hbm:item.chemical_dye:8, Chemical Dye (Gray)
hbm:item.chemical_dye:9, Chemical Dye (Pink)
hbm:item.chemical_dye:10, Chemical Dye (Lime)
hbm:item.chemical_dye:11, Chemical Dye (Yellow)
hbm:item.chemical_dye:12, Chemical Dye (Light Blue)
hbm:item.chemical_dye:13, Chemical Dye (Magenta)
hbm:item.chemical_dye:14, Chemical Dye (Orange)
hbm:item.chemical_dye:15, Chemical Dye (White)
hbm:item.crayon:0, Black Crayon
hbm:item.crayon:1, Red Crayon
hbm:item.crayon:2, Green Crayon
hbm:item.crayon:3, Brown Crayon
hbm:item.crayon:4, Blue Crayon
hbm:item.crayon:5, Purple Crayon
hbm:item.crayon:6, Cyan Crayon
hbm:item.crayon:7, Light Gray Crayon
hbm:item.crayon:8, Gray Crayon
hbm:item.crayon:9, Pink Crayon
hbm:item.crayon:10, Lime Crayon
hbm:item.crayon:11, Yellow Crayon
hbm:item.crayon:12, Light Blue Crayon
hbm:item.crayon:13, Magenta Crayon
hbm:item.crayon:14, Orange Crayon
hbm:item.crayon:15, White Crayon
hbm:item.part_generic:0, Pneumatic Piston
hbm:item.part_generic:1, Hydraulic Piston
hbm:item.part_generic:2, Electric Piston
hbm:item.part_generic:3, Low-Density Element
hbm:item.part_generic:4, Heavy Duty Element
hbm:item.item_secret:0, Composition SB-26
hbm:item.item_secret:1, Proprietary Control Unit
hbm:item.parts_legendary:0, Legendary Parts
hbm:item.parts_legendary:1, Legendary Parts
hbm:item.parts_legendary:2, Legendary Parts
hbm:item.gear_large:0, Large Gear
hbm:item.gear_large:1, Large Steel Gear
hbm:item.sawblade, Sawblade
hbm:item.plant_item:0, Tobacco
hbm:item.plant_item:1, Rope
hbm:item.plant_item:2, Mustard Willow Leaf
hbm:item.entanglement_kit, Entanglement Kit
hbm:item.component_limiter, Stabilizer Component
hbm:item.component_emitter, Emitter Component
hbm:item.fins_flat, Flat Steel Casing
hbm:item.fins_small_steel, Small Steel Grid Fins
hbm:item.fins_big_steel, Big Steel Grid Fins
hbm:item.fins_tri_steel, Large Steel Fins
hbm:item.fins_quad_titanium, Small Titanium Fins
hbm:item.sphere_steel, Steel Sphere
hbm:item.pedestal_steel, Steel Pedestal
hbm:item.dysfunctional_reactor, Dysfunctional Nuclear Reactor
hbm:item.blade_titanium, Titanium Blade
hbm:item.blade_tungsten, Tungsten Reinforced Blade
hbm:item.turbine_titanium, Titanium Steam Turbine
hbm:item.turbine_tungsten, Reinforced Turbofan Blades
hbm:item.flywheel_beryllium, Beryllium Flywheel
hbm:item.toothpicks, Toothpicks
hbm:item.ducttape, Duct Tape
hbm:item.catalyst_clay, Clay Catalyst
hbm:item.missile_assembly, Small Missile Assembly
hbm:item.warhead_generic_small, Small Warhead
hbm:item.warhead_generic_medium, Medium Warhead
hbm:item.warhead_generic_large, Large Warhead
hbm:item.warhead_incendiary_small, Small Incendiary Warhead
hbm:item.warhead_incendiary_medium, Medium Incendiary Warhead
hbm:item.warhead_incendiary_large, Large Incendiary Warhead
hbm:item.warhead_cluster_small, Small Cluster Warhead
hbm:item.warhead_cluster_medium, Medium Cluster Warhead
hbm:item.warhead_cluster_large, Large Cluster Warhead
hbm:item.warhead_buster_small, Small Bunker Buster Warhead
hbm:item.warhead_buster_medium, Medium Bunker Buster Warhead
hbm:item.warhead_buster_large, Large Bunker Buster Warhead
hbm:item.warhead_nuclear, Nuclear Warhead
hbm:item.warhead_mirv, Thermonuclear Warhead
hbm:item.warhead_volcano, Tectonic Warhead
hbm:item.fuel_tank_small, Small Fuel Tank
hbm:item.fuel_tank_medium, Medium Fuel Tank
hbm:item.fuel_tank_large, Large Fuel Tank
hbm:item.thruster_small, Small Thruster
hbm:item.thruster_medium, Medium Thruster
hbm:item.thruster_large, Large Thruster
hbm:item.thruster_nuclear, LV-N Nuclear Rocket Engine
hbm:item.sat_base, Satellite Base
hbm:item.sat_head_mapper, High-Gain Optical Camera
hbm:item.sat_head_scanner, M700 Survey Scanner
hbm:item.sat_head_radar, Radar Dish
hbm:item.sat_head_laser, Death Ray
hbm:item.sat_head_resonator, Xenium Resonator
hbm:item.seg_10, Size 10 Connector
hbm:item.seg_15, Size 15 Connector
hbm:item.seg_20, Size 20 Connector
hbm:item.chopper_head, Hunter Chopper Cockpit
hbm:item.chopper_gun, Emplacement Gun
hbm:item.chopper_torso, Hunter Chopper Body
hbm:item.chopper_tail, Hunter Chopper Tail
hbm:item.chopper_wing, Hunter Chopper Wing
hbm:item.chopper_blades, Hunter Chopper Rotor Blades
hbm:item.combine_scrap, CMB Scrap Metal
hbm:item.shimmer_head, Heavy Hammer Head
hbm:item.shimmer_axe_head, Heavy Axe Head
hbm:item.shimmer_handle, Reinforced Polymer Handle
hbm:item.circuit:0, Vacuum Tube
hbm:item.circuit:1, Capacitor
hbm:item.circuit:2, Tantalium Capacitor
hbm:item.circuit:18, Atomic Clock
hbm:item.circuit:3, Printed Circuit Board
hbm:item.circuit:4, Printed Silicon Wafer
hbm:item.circuit:5, Microchip
hbm:item.circuit:6, Versatile Integrated Circuit
hbm:item.circuit:16, Solid State Quantum Processor
hbm:item.circuit:7, Analog Circuit Board
